,Hotels,Ratings,Price,Link,Descriptions
0,Mayerling Bisbe Urquinaona,"8,0",€ 443,https://www.booking.com/hotel/es/chic-basic-urquinaona-apartamentos.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=1876302_326358061_0_0_0&highlighted_blocks=1876302_326358061_0_0_0&matching_block_id=1876302_326358061_0_0_0&sr_pri_blocks=1876302_326358061_0_0_0__44320&from=searchresults#hotelTmpl,"El Mayerling Bisbe Urquinaona ofrece WiFi gratuita, presenta una decoración minimalista y se encuentra en el centro de Barcelona. Está a 5 minutos a pie de la plaza de Cataluña.

Los apartamentos son accesibles por un tramo de escaleras y tienen aire acondicionado, calefacción, baño privado con secador de pelo y cocina con lavavajillas, hervidor, microondas y cafetera.

Hay muchos restaurantes, supermercados y tiendas en las inmediaciones.

El Mayerling Bisbe Urquinaona está a 5 minutos a pie de La Rambla de Barcelona y a 500 metros del Paseo de Gracia y sus tiendas. El aeropuerto de Barcelona queda a 30 minutos en autobús desde la plaza de Cataluña."
1,Hotel Arts Barcelona,"8,4",€ 1.189,https://www.booking.com/hotel/es/arts-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=1471329_95139427_0_34_0&highlighted_blocks=1471329_95139427_0_34_0&matching_block_id=1471329_95139427_0_34_0&sr_pri_blocks=1471329_95139427_0_34_0__118908&nad_id=40af39ac-8e6a-4932-8a3e-4e87d9ec81d5_0&nad_cpc=0.86&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjhwUmN6WEcrbFVwMHdONFg4UTFmSW9SNWFNQmdEMG1hUitzNzE2bW1KQitldm41NmluZmQzM0IrdXVEdVRTditxMDhmYWFBS24rem51RmJwcUxOR051QjVDTTdpc0Z6NndjRXpNUi9RV1RYWitPOVhMSU0zU0dMd1d6NXRKaWQ2RFdBcGhOK212SlhaZ2ducXJjalJrKzNLdG1zeHJFdGZSN3U0cXZSWjJwcUhLTlp2TWNOZGUvYlovVm5CYmxrUUhYSkREWkcxTE9wVCtNYXk5U1VxcFNMYUtmZDNJZ0VsNEppdE5rTUppSmY4Um5objBBT2luaU1YRE5yWmY4Sk5EOWpESmhUOHBUTklrTDl2UkF5c0RqOUI5Mk44Y05wa2E3NGUyNlJ6RGVvajVhTXBRL2JUVFNkaXM2SWJlNEI0Wm1LS2lxNHdZOExETUlCOWo1d2lCbm9SQWlkeTZzSU9zU2E2MU1Tbys3c2tZa20wSFhsUXZhcGZXM3BUZml4NUhJdjZKZHVlRW9KamMwcFBERmMrb3V5TS9BYmM4SGMyL2FVemlPOWNmYmZkaXZKVE1mOE9paGxPRWMyRC94SFc4WTBOZVFDTFc3ZmJJcmpmMWNxVE00bEpsU0tmazNvSjIvTTk2bmxhYU9QWWpUVDBtSVdwb2pFbkhGaGZKRndoZGYzNkFWK0NMNTY2dWpzN24yU1NzK3RSTDh3QmZWNldyWnFQMlpkZUMzaldQT3dzckMxaEtlNG5HRmw1eFF2eTFNUi90aGpnMHdoeEtVRUJBZEFOSkhBSnpuRGJlRW9iWjVWTGNnVUFzd3RLT3RmbFBUUHBobFZvdDZwTkFWeEV2MUNvSldlNmh3QStKVmdjaWtzdHpKeHlsaFlnY05CUXBNbFJSSmVYcHZQQjYyb3c2QXBuK092eWswbzZpc1ZkS1RhTmw4NjR4SkJRM0xwSXpWeCs3bFJ4T3NSTEtZeTBhczFDdzB5WTVxdFhLdWY1NGhYTzd3b1QrZ252Sk95bFkxUmV5eXBNK2NpbEV6SHFZSjVod052S0Q4ZyszK1lMOTlpVXgxczFQYjNKUWVPUHc1VHM1ODY3MEhWWnpOTmpXbkRCY0tXUHpMT2RnSkhRc0pCMVVVRE5KK0ZIbWd0emVZcFpXMGFsSEpBY0ZkMzVseisrM1pOa0Ftd0JOMXNjdzBka3pzNS91cE5EUVhVeFVKQWdkeVYyWTFKSjBxcmhna1pITCtuTzRCdUN2dmJQR1BYbW1GQ2QzaDFJeXAxYnRoSUFoUFczOFJUbkpoLzMwQzJQalFkRVJPTTN3ZEJqQnNtejhJUDAwWG05VFI5OFZ6Z2hyMXZIQ3MzSEtzK0dpREYyNXpDSDBUZ29oODFlTHZ0VWVtVkp4T2hEWExkQ2NQNDZsVW1NS0VXSkthNm5oOEpKcEhmZkhHSDVuUDJKbUZ4ODF2azNLK2tWK2xTcnRxbU1VbGlhRFBUQmdGV1gxQzFONFlUUWlhWWg0aU9XL0Q4SDBlbC9iMGU2NmNPOG5zTWIvTEF1ZElsL0tlQ3E0QmNOWkRPYlNSdllTOTd3MDNWZEtKYStNQXBJUEJyYkY3aFRyd29lQkExWm42QTZXbW8yV3c2MkdmWXdXZThtM1VFeUZKSTExU0RtODM1a3J2UzhkUm0vRGdYYjc0Q21pMi91bytYREwwamFlZ212T2lGSXJnb2sySVg2SUR2QU5YMXljOWdRMjdhK0dQTmduUjhCUmhDZmpPang0cVI3TmlxcEFiTzUzU3Yva21VVTRXc3VIRFRXcGJ6M1g2UTl2YWtVRUxvUkVnbTVxTUNkaE1qVStYU1VTbm0rUGJNajhUZ0F1Ukk5RWpPUHZtUWNvblJRUEYxWUthSjdxcUNxMFdZejJpTE5Kb2hlblFkVGVUZ2U2ajkyRkpVV3NlSGg4bUZKZDRTZW0zbFlmYnIvK1UySmp2dXZtaWg4eTRUbTlQZGhzUkdieGpDR1c3WGM5ZkhONzhaWUVjUW9nVmE2ZjROUGg5QWw5cURhV21kRmR3djVUQ1FjdWszdTZvM051bDFXbHBxeHJDU2NNS0R1aWxBTzlwQVU1Wk1ITnhxM21FMFEyU3F3YjJ5YVBsTVFIUE9Ma0lVRFhYTkp6eHJEZTBic3RBcDJtMGQ5MTM4ZVROZTlFbTNvb1lmWnVNeFFHN01FMDd1T2ptT2FNekl1VnJwZ0lYeGNOR3hSSlhaOWZENVBsZlo4Zzd4YWJoRHNvYlZYdk5TcmdxZ1ZLa3EwbnFycndSQXFLdkgvazJtc2lkZDgva29sOWxlT1BHb1JYREVVWXdra3dCK2VNNHJEYXFkWnhRYTljNUNkMDFBblFXZHBvNnIyYW1lL2VsRGJieStFSmpGRlBKRXp1UlBTSmhxR1JGZkNPbWcrazNMK3B2L3BmNFM3T3lKYlVEd0pveFRzZllqVXNtYTY3bWcraUQ1eGJBVU9xS2pxTkh3TmRMQUluRHdNN0hkaTFLMWRMWHBvdXRQN3dUWHhUYTdjdS95c3VHME9FSEpqV0RXMGNhK2U2N3RZdG4vZFFsOUxQOUk2OTAyekRNTW95OVZiYW1MejkybjlkS1p1Y096VFUvK1Jjc05OeXBwcXpQaDZrZllYSS9JUHlWTEg3MTZNWkc5c3UvRlpxVFdjbGF2cVVLeHViQkNsQzAvc0VOTDkyT3BHY1kreDN1STR4SkpEY2ZZOTNXSTVEUVh6UThvcVdQT2ViTFQ1Y3NzL2JmalJRZ1IveFd5SUVXOWoxcnlObWJucWNvZENtc0FYZ0lJQi9PWTBaUGtmeHlkWkFBZzFhYnBHeFFPd2xwZjJmSnlKTFkxSkpXc1RPTWFmQ2FVY2VrakRVYnc2YmxQUXNJaFVXMkYvZzAwU2p4Wm1rZ0M0RWwyZWFUUldQN0FrTVZRTXVVb1JwNDlIUGQvT0x1N1RuR3RsczVLR2tObnVyL2Z4dGpsdHY3TWgwaVROQ2lSYm1JNnM5aEFIb1JKdU5nb0V5eXZacndYcmo4c3RQYnFvZ0p3M1JXRUhVUTVPR2VHMlFFdjZXVHRxTDR4QksyaTIrT1pkc2RqSlZVR2p3MUQxTlJHdEtZekZoQmVWbFpLZmlnTUFtQWRDS3l5QVhEVUEvVi9kTEt0b0czcDB5SGEzTzF6ODlzdkpUcEZGakQrMlZNWGIrVlZyUTk1RmNSeGVCUkQ0SFNhdkFHVmZXMWNGUHErMk1ISHlkcW45S1RkYk1sSG00dTZEIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel de diseño tiene vistas a la playa de la Barceloneta y al centro de Barcelona y cuenta con 2 piscinas al aire libre y spa de lujo con vistas a la ciudad. El Hotel Arts alberga una colección de arte y un restaurante con 2 estrellas Michelin.

El hotel Arts se halla junto al puerto olímpico de Barcelona, rodeado de tiendas y bares animados. Se encuentra a 250 metros de la playa de la Barceloneta y a 300 metros del parque de la Ciudadela.

Las habitaciones del Arts Hotel incluyen TV de pantalla plana y equipo de música. El baño tiene ducha y bañera independientes.

El restaurante Enoteca del hotel, galardonado con 2 estrellas Michelin, sirve platos excelentes de la cocina mediterránea. El establecimiento alberga otros bares y restaurantes, entre ellos un bar junto a la piscina donde se sirven comidas ligeras en verano.

El Hotel Arts cuenta con peluquería y varias boutiques de moda de lujo. El personal del equipo de conserjería del hotel habla varios idiomas. Hay un centro de negocios totalmente equipado."
2,Pensión Coral,"7,8",€ 194,https://www.booking.com/hotel/es/pensia3n-coral.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=37982416_385848378_2_0_0&highlighted_blocks=37982416_385848378_2_0_0&matching_block_id=37982416_385848378_2_0_0&sr_pri_blocks=37982416_385848378_2_0_0__19352&from=searchresults#hotelTmpl,"Esta pensión se encuentra detrás de la plaza de Sant Jaume, en el barrio Gótico de Barcelona. El alojamiento está situado a solo 5 minutos a pie de la estación de metro Jaume I, la más cercana.

La Pensión Coral ofrece habitaciones con WiFi gratuita. Algunas habitaciones disponen de baño compartido. Todas ellas incluyen nevera, secador de pelo y artículos de aseo gratuitos.

Las habitaciones del Coral presentan una decoración sencilla y están equipadas con escritorio y armario. Algunas habitaciones también disponen de balcón con vistas a la calle.

La Pensión cuenta con máquinas expendedoras de aperitivos y bebidas.

En los alrededores hay numerosos bares y restaurantes. El alojamiento está ubicado a poca distancia de varios lugares de interés cultural. El Museo Picasso queda a 600 metros y la iglesia de Santa María del Mar está a 6 minutos a pie.

El establecimiento está en la 1.ª planta de un edificio sin ascensor.

El registro de entrada se puede efectuar de 08:00 a 22:00. No se puede hacer el registro de entrada después de las 22:00."
3,Hotel Peninsular,"7,0",€ 270,https://www.booking.com/hotel/es/peninsular-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=38860903_0_2_1_0&highlighted_blocks=38860903_0_2_1_0&matching_block_id=38860903_0_2_1_0&sr_pri_blocks=38860903_0_2_1_0__26952&from=searchresults#hotelTmpl,"Este hotel encantador está situado a pocos minutos a pie de las Ramblas y alberga una zona de conexión Wi-Fi gratuita y un patio central luminoso con plantas. La estación de metro de Liceu se encuentra a solo 200 metros.

Las habitaciones del Hotel Peninsular son funcionales y disponen de aire acondicionado y baño privado. El personal de recepción está disponible las 24 horas y ofrece servicios de guardaequipaje y de información turística.

El Peninsular está situado junto al animado barrio del Raval, donde hay numerosos bares. Los artistas callejeros y las cafeterías de las Ramblas se encuentran a la vuelta de la esquina.

El famoso mercado de La Boqueria se encuentra a 250 metros del hotel y la catedral de Barcelona, a 500 metros. Los autobuses con destino al aeropuerto y los trenes locales tienen parada en la plaza Cataluña, situada a 10 minutos a pie."
4,H Regas Adults Only,"7,5",€ 305,https://www.booking.com/hotel/es/hregas.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=829282202_377468292_2_0_0&highlighted_blocks=829282202_377468292_2_0_0&matching_block_id=829282202_377468292_2_0_0&sr_pri_blocks=829282202_377468292_2_0_0__30452&from=searchresults#hotelTmpl,"H Regas Adults Only ofrece habitaciones con aire acondicionado y TV de pantalla plana en el barrio de Sarrià-Sant Gervasi, en Barcelona. Este hostal o pensión de 2 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El hostal o pensión tiene bañera de hidromasaje y guardaequipaje.

El baño privado está equipado con bañera, artículos de aseo gratuitos y secador de pelo. En el hostal o pensión, cada habitación dispone de ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como La Pedrera, Casa Batlló y Paseo de Gracia. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 14 km."
5,Hotel Lloret Ramblas,"8,0",€ 372,https://www.booking.com/hotel/es/lloret.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=24455102_91914278_0_2_0&highlighted_blocks=24455102_91914278_0_2_0&matching_block_id=24455102_91914278_0_2_0&sr_pri_blocks=24455102_91914278_0_2_0__37152&from=searchresults#hotelTmpl,"El Hotel Lloret Ramblas se encuentra en las famosas Ramblas de Barcelona, junto a la plaza Catalunya. Ofrece servicio de recepción las 24 horas del día y habitaciones con aire acondicionado, TV de pantalla plana vía satélite y conexión inalámbrica a internet gratuita.

Todas las habitaciones del Lloret Ramblas Hotel son funcionales y cuentan con escritorio y baño privado con artículos de tocador. Algunas, además, tienen balcón privado.

El desayuno se sirve en el hermoso salón-comedor del Hotel Lloret Ramblas, que data de principios del siglo XX. En recepción encontrará un ordenador con conexión a internet gratuita y caja fuerte gratuita.

La catedral de Barcelona y el museo de arte moderno MACBA están a 500 metros del Hotel Lloret. La estación de metro de Catalunya está a 1 minuto a pie. A 100 metros del hotel encontrará la parada de los autobuses que conectan directamente con el aeropuerto."
6,Hostal El Ninot,"8,7",€ 257,https://www.booking.com/hotel/es/hostal-el-ninot.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=42022902_352557374_0_0_0&highlighted_blocks=42022902_352557374_0_0_0&matching_block_id=42022902_352557374_0_0_0&sr_pri_blocks=42022902_352557374_0_0_0__25652&from=searchresults#hotelTmpl,"El Hostal El Ninot se encuentra en el elegante barrio barcelonés del Eixample, a 3 minutos a pie de la avenida Diagonal. Ofrece habitaciones luminosas con aire acondicionado.

Las habitaciones son acogedoras y presentan una decoración funcional y suelo de madera. Incluyen TV, calefacción central y aire acondicionado. La mayoría tiene baño privado, y algunas disponen de terraza o vistas a la ciudad.

El Ninot está cerca de numerosos bares, tiendas y restaurantes y a 10 minutos a pie del paseo de Gracia, con sus tiendas exclusivas y monumentos de Gaudí. La misma distancia hay hasta las bonitas plazas del bohemio barrio de Gracia.

El hostal proporciona información turística y conexión WiFi gratuita. Está a 5 minutos a pie de la estación de metro de Hospital Clínic y a 500 metros de la estación de tren FGC de Provença, que se encuentra a 1 parada de la Plaza Cataluña."
7,Apartment Aptucat,"8,6",€ 384,https://www.booking.com/hotel/es/apartment-aptucat.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=127082801_266318755_5_0_0&highlighted_blocks=127082801_266318755_5_0_0&matching_block_id=127082801_266318755_5_0_0&sr_pri_blocks=127082801_266318755_5_0_0__38420&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Apartment Aptucat cuenta con terraza compartida con vistas a la ciudad y se encuentra en Barcelona, ​​a 200 metros de la estación de metro de Maragall. Ofrece apartamentos de 2 y 3 dormitorios con conexión WiFi gratuita.

Todos los alojamientos presentan una decoración colorida y disponen de baño privado con ducha y secador de pelo. El alojamiento cuenta también con lavadora, ropa de cama y toallas. Algunos apartamentos tienen balcón privado.

La zona de estar cuenta con sofá, TV de pantalla plana y mesa de comedor, mientras que la cocina está equipada con horno, microondas, cafetera y utensilios de cocina.

A 2 minutos a pie del Apartment Aptucat hay numerosas tiendas, restaurantes y bares. El establecimiento queda a 20 minutos en metro de la famosa Plaza de Cataluña y las Ramblas, y a 5 minutos en taxi de la Sagrada Familia. El aeropuerto de Barcelona-El Prat se halla a 20 km."
8,Hotel Viladomat by Silken,"7,6",€ 250,https://www.booking.com/hotel/es/hotel-viladomat.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=9046608_0_2_0_0&highlighted_blocks=9046608_0_2_0_0&matching_block_id=9046608_0_2_0_0&sr_pri_blocks=9046608_0_2_0_0__24988&from=searchresults#hotelTmpl,"El Hotel Viladomat by Silken goza de una ubicación idónea en Barcelona, a menos de 10 minutos a pie de la estación de metro Hospital Clinic. Ofrece WiFi gratuita y bar.

Todas las habitaciones disponen de aire acondicionado, TV vía satélite, caja fuerte, escritorio y minibar. El baño privado incluye bañera, ducha, secador de pelo y artículos de aseo gratuitos.

El Hotel Viladomat by Silken cuenta con recepción 24 horas y servicio de venta de entradas. Además, se proporciona servicio de enlace con el aeropuerto por un suplemento y consigna de equipaje.

Está a 20 minutos a pie de la Plaza Catalunya y de las famosas Ramblas de Barcelona. Si lo desea, el personal puede proporcionarle información sobre la ciudad y los principales lugares de interés. El Hotel Viladomat by Silken se encuentra a 1 km de la estación de Sants, con servicio directo al aeropuerto de Barcelona."
9,Eurohotel Diagonal Port,"7,8",€ 435,https://www.booking.com/hotel/es/rafaeldiagonal.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=9029202_239874675_0_2_0&highlighted_blocks=9029202_239874675_0_2_0&matching_block_id=9029202_239874675_0_2_0&sr_pri_blocks=9029202_239874675_0_2_0__43460&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Eurohotel Diagonal Port está ubicado en el distrito barcelonés de Poble Nou, a solo 350 metros de la playa de la Mar Bella, y ofrece vistas al mar Mediterráneo.

Las habitaciones de este hotel son amplias, presentan un diseño contemporáneo. Todos los alojamientos disponen de aire acondicionado y TV vía satélite. También hay conexión gratuita a internet por cable.

El Eurohotel Diagonal Port sirve un desayuno continental.

El Eurohotel Diagonal Port se encuentra a 7 minutos a pie de la estación de metro Poblenou, que dista solo 5 paradas del centro de Barcelona. El hotel está a poco más de 2 km del parque de la Ciudadela y a 20 minutos a pie del Fórum.

El hotel está bien comunicado con el distrito financiero 22@ y cerca de varias tiendas y del Centro Internacional de Convenciones de Barcelona. Hay una estación de metro y una parada de autobús a unos 5 minutos a pie del hotel."
10,MH Apartments Urban,"8,6",€ 460,https://www.booking.com/hotel/es/mh-apartments-urban-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=46674901_265084573_2_0_0&highlighted_blocks=46674901_265084573_2_0_0&matching_block_id=46674901_265084573_2_0_0&sr_pri_blocks=46674901_265084573_2_0_0__46000&from=searchresults#hotelTmpl,"El MH Apartments Urban está situado a sólo 500 metros de la plaza Espanya. La plaza Catalunya y Las Ramblas se encuentran a 5 minutos en metro. El establecimiento ofrece apartamentos modernos con conexión Wi-Fi gratuita, TV de pantalla plana y caja fuerte.

Los apartamentos, decorados en tonos rojos y negros, presentan ventanales y suelo de parqué. Todos ellos incluyen aire acondicionado, zona de estar/comedor y zona de cocina equipada con horno, cafetera Nespresso y lavadora.

El MH Apartments Urban se encuentra entre los animados barrios de Poble Sec y Raval. En las inmediaciones hay numerosos bares y locales de restauración.

Los autobuses que conducen al aeropuerto salen desde la plaza Espanya. La estación de tren de Barcelona Sants está a sólo 15 minutos a pie."
11,Ecozentric,"7,6",€ 281,https://www.booking.com/hotel/es/ecozentric.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=54473304_344950443_2_0_0&highlighted_blocks=54473304_344950443_2_0_0&matching_block_id=54473304_344950443_2_0_0&sr_pri_blocks=54473304_344950443_2_0_0__28062&from=searchresults#hotelTmpl,"El Ecozentric está situado en el centro de Barcelona, ​​a solo 5 minutos a pie de la Plaza de Cataluña y de la Casa Batlló de Gaudí. Este establecimiento ecológico ofrece habitaciones modernas con conexión Wi-Fi gratuita y TV LED.

Las habitaciones del Ecozentric están insonorizadas e incluyen aire acondicionado, TV de bajo consumo y sábanas de algodón orgánico. Todas disponen de baño privado con ducha de efecto lluvia.

El establecimiento sirve té, café y galletas de forma gratuita durante todo el día y cuenta con un salón donde podrá relajarse.

El Museo de Arte Contemporáneo de Barcelona MACBA y el barrio del Raval quedan a 7 minutos a pie del Ecozentric, mientras que el mercado de la Boquería y el Palau de la Música Catalana se hallan a 13 minutos, también a pie. De la Plaza de Cataluña parten autobuses hacia el aeropuerto.

El Ecozentric dona una parte de cada reserva para la reforestación de los bosques."
12,Pensión 45,"6,3",€ 183,https://www.booking.com/hotel/es/pension-45.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Avuaua0GwAIB0gIkMWYzMjYwOTEtMmNmZS00YmM0LWFkNGMtMjAxNDJmNGU0MWVh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e6514ee5405e02ce&srepoch=1705922034&all_sr_blocks=1240802_190208126_0_0_0&highlighted_blocks=1240802_190208126_0_0_0&matching_block_id=1240802_190208126_0_0_0&sr_pri_blocks=1240802_190208126_0_0_0__18277&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Ubicada en un edificio de gran interés artístico, construido a principios del siglo XIX, conservando parte de su decoración original ofrece una alojamiento sencillo con un trato cálido y familiar.

Un establecimiento tranquilo y confortable con una perfecta ubicación para perderse por la parte del casco antiguo y muy bien comunicada con transporte público para moverse por otras zonas o alrededores de la ciudad. La estación de Renfe está a escasos metros. Ideal para los que quieren conocer el corazón de Barcelona y beneficiarse al máximo de su ambiente de ocio, comercial y cultural. A escasos metros del MACBA, Las Ramblas, Plaça Catalunya y la Universidad Central."
