,Hotels,Ratings,Price,Link,Descriptions
0,ABaC Restaurant Hotel Barcelona GL Monumento,"9,2",€ 714,https://www.booking.com/hotel/es/abac-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=1365401_95137908_2_2_0&highlighted_blocks=1365401_95137908_2_2_0&matching_block_id=1365401_95137908_2_2_0&sr_pri_blocks=1365401_95137908_2_2_0__71440&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"ABaC Restaurant Hotel Barcelona GL Monumento se encuentra en Barcelona, a 1,9 km de Parque Güell, y ofrece alojamiento con terraza, parking privado, restaurante y bar. Este hotel de 5 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. Hay un centro de spa y bienestar con piscina cubierta, centro de fitness, sauna y jardín.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. En ABaC Restaurant Hotel Barcelona GL Monumento, todas las habitaciones cuentan con ropa de cama y toallas.

El alojamiento ofrece varias instalaciones de bienestar, como bañera de hidromasaje y hammam.

La Pedrera está a 3,3 km del alojamiento, y Casa Batlló está a 3,5 km. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 14 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
1,The Barcelona EDITION,"8,8",€ 1.276,https://www.booking.com/hotel/es/the-barcelona-edition.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=361366003_118726795_0_2_0&highlighted_blocks=361366003_118726795_0_2_0&matching_block_id=361366003_118726795_0_2_0&sr_pri_blocks=361366003_118726795_0_2_0__127574&nad_id=0f12595c-74b3-40e9-870d-a517f9078847_1&nad_cpc=0.69&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InZ3b1prOGpUekNlbElyVjNtZmhKMS9CalZocThVSlVieXZJTDA3ZWJMMW84ay81eE1CR3hZYm10SU52bk5tYllxaXRSZEtzUUY1d1d1b3l6QTRqOXp4YU9oWllxY2I5S211cmhwTXBrQ01iYXV5dzNJbE1yZk1JRHo0V3VnTmlDNjhFTjdPbUxnd0l4SlQ2YlNTeU1oM0J6cTgrR2U2eUFCNG90T1VSb1ROTTA2RUVMRklkdDZud0hFRVRzL2lzWDRnUCtFTUgzVi9FdndOUEgwWUNtUFR5WU1EMUMrR2R4RTNMcWFUZ2cybWNyVTBGT0U3N0s5UmZHcnduV0JiUzJTU05oQ05CUnZhdDNFSDFSQk1aTjJWa3ZhbHpLOGxUM2VXK25TaXFUZmpOamFXUllLOFBaajVrMGlsMU5tRDhDN3FQdURGUjJWa3dUemtaaGdsUUp6YXRqNjBrQTIyRm5rcjNsN1E2a2o1Q3RWa3ROcGliM3p1OTd5bEx0aGVwNXpnaEVhSnBaOFd3YXdEeGFMc2NmMmd0M3U1WWhZWUR0UExXL0V5WnNIVEdTYzc5UzdMZzNNWGVYeGF3VE5HOTFmT1BHZDZ3QmFVRC8rRDQyZWtNUjVqRmRmbUFOeGlkUlZjZjE1K204UnZKUWl3RlBQaVlpSGVLYUtTU1F4Ym9xVjhQNjJ6empwK0RlV3dwNk85MkdPdGdFcXV2bFN4cEhYaFVYaFdlSDNjZ3Z0TDV0MjJjWDBSaVhhWXBuQW1HU3habkh2M0pMYjcvdHp3aXlwMGlyQzVkK0QxamRVV3JhYUkrZTIrb29qME5keFVWVk94WU1LNTc0Q2Z6YUhlR1MrYlcwZHJGc3cvcWFhR1JsVEd4eC8wUjc0RU1DK3dkKzl6dnU2aXlRYVJ6OTdWTnBvNnRJVmpSd1NEbTVWU1ROZHRWdWJ6VWRUSHlQK0diUWcrSFBzNUtrYVJuNXZyeXFoLy83TU10WXlyTXpKRU9pQ2lPaDFzaTlFNlppblNhUVNsYWVaVGRuYm9Lajg0VUNNd1FTRDE5N3k4ZjhHMnd0bUNWcFRlNmJINUxuK29GT3JmK21jaHlMTURyV2JhYmM3R2FJRzRsLzVaeXZlRHBsU1R4NEV3S3ZOWEZ6K01udnp6QjVOUGFUZWFRak43UUg0NWJZdUdBK2ZmcWdpMkdPNWYzR05jOXZHZmxKa2d6ZXRzdWhVWWF0V0ZnQjRvT1g2UkgwVXdOQzJKMExzTVkvUUFXVGkvbSsvUjFFTEpmeExmYVVCUzBEYk5kMTR5R1VkbG9VWEZTajFVMlJJSCtrdU5qeU5xd25qVm1BbzA1cm1mb2FYL2xtcWFSZmhLZlFobUhWZ3p5bFRIRHZtTFJvb1dDTXRBaVhLWGliUUsyK2c2R3lrN1oxcmJRYXMyeE9oWDI0TFN4eGVQUHNVdzY3L29TT3FqZlZzQW1YK2JHaUZ5NGVUbkNYZWhxd3NaSHMvaGZRMjBlNE5GSi9ZeHkwZW9tcGRFUEhMaEo2MnlwajgrOENEOWRCRHZqMWYrcGtQaVNLMnpoVXdtWnM1a0lOUzVvRFZIdWxuR3RycVJZNHNMbUdqcHJ3Qkk1Q1Bxc2xSVjYvcU5oQlp1OFpmMzVCV0tCU0QvaVpYcEZaR0dNTjY5OHFmdXY0dWhsaWtUSVp4SzdlTnB6K0hlRG96VVFkMDNTdVlSTkZXMDdXcXNuT0ovaVBmWGVkQlZMM0JiWXBHS1pLZGRhZ1JGNDlDVWoyUGQ0OWFiVGpRbGs4VVkxZ1BFMTIvaG1Cd2ltMDlkNUNmbjM1dG00OFlUeW0raHV1bjNZWW94Z1lhQ0RoWFZyZ0lWbmpPTjdKSy9jbkFaaER0TzFMM09IVWtJcXM2WG1rVEtqYXl5ZzdJWXZOeUYxa2RCVHlrUXpDaGlvUHNsQTMzM3UvcVplZWl0TWo1WHltK2RoVlJIR3hzQ2JlZTM1aTgveXZzbEpzUVdBNTQvSnRxYlJOamJhNWNqSTIzVjlmSG9USnFBRU9VM3pwUW53dG9icnVlQ3BKWW1KOWVFS0NwYUtNVHBWRG4xcitKdDlzNFBLN0t6cCsrTVhJOTkzbW1KWEIya3ZaNmhlS2g5YnJXU1ZEVkhpd0FwQjJmaDdDVStabmREVEsvRmkxWUJrWWtTN0ZjNDNhK3QzRDlXUVVOL1FrYjA0bGNUeFoxRi83b0Y5elJPaUFnekhsalh5UmVHNzZDNFl6QmY2RzliTWtEVEJOVUxMM1pJOC9RWnQ0QndhbEtUT1p1Q0p6ZXhRZk53M3FocDdyMkpxcmR1QmovT2pnbnIrOEk3N1k0eTlYRHR6Z2grSDk1dmtJb0dPT25RVnFqT2lGeWt5b1lHQm1EVTlzcGk5QmFybzM1K2NteVRaKzVtYTA3TEJnZ1VFQ1ZMREMxTmRjbDVXd3JGckV3aFdDMkYvLzdNbUpUTXBYV0VJZjR2bFlTVnVjNzY4TkJBclh1bTlrdEJldllUNUIzOWxzSEczZVZkNlN2d3hnYmtYQm9FbGRrc2hDaDlOdzZDTytJZ1oyc1VIVDRPbUUvbDF5RnA4NjB0MzY3eTBWKzlRSGtEMnNFc2dDVU43V3d6UG9OYkZ1QVE1YkNpbW5HV3Fqa3p5WFRZYTdtT2lXU3g1cS8zTlE5TGMvNVZoRmw1dmZETHdsaDlaeUJQc0NoSTZYRTNyckpta0ZtZHNYUUQ2NDZ2QWZkTTdxd0dJSnBDbXJNWGtSZTlUdGVPUzVkYWxDUlBmN0Yrb3pqVzl1MjdzUVYrQmwyZGdwMkNhSWgrWU9Cd1Q2bkRLcGk4NWVhVXlrV2lTTVRwbVdZb3A0aEVpVUNGdXJyQ2RyOFhiUVBvSFRQZVN2VysxQXBCeTR6akFaRk1pN2UwaEtKWkY1UU5aellweEltZkM4N3lKRCt1RDcrZUFSVGF5SmE3UENxNDFsdDUyWjZLRk1ORkQwU2N0dXI1MXR1ZUtPQXpoM1ZpMFBaMlB5N3hKNjEzaFpHZ0hOT3JuNE5WZ2ZWa0xobzJ1S0VXOUppdk4yME56YnllU1NKeXJzZkJCNzZtZFNGSVBWWGo1aS9UTStHaDVBOG10d2RQSVQrV01VbUJGRERISmlkTm9MYVh5WVBpZjQxaklPSFljaEtCV043NEhIdUhhOENZeC9ReGJua3hJdHdBaENpdG1JaTRWTHNVdU9Fek9nbzJRQkU1R2pBSTVQaG0yaGxnUGpkd3h2TjlRZTIzSFhBTTFiTDVYb2pVamlndz09In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El The Barcelona EDITION se encuentra en Barcelona y dispone de restaurante, piscina al aire libre, centro de fitness y bar. Este hotel de 5 estrellas ofrece habitaciones equipadas con aire acondicionado y WiFi gratuita. También cuenta con terraza, recepción las 24 horas, servicio de habitaciones y servicio de cambio de divisa.

Todas las habitaciones del The Barcelona EDITION incluyen zona de estar, escritorio, TV de pantalla plana y baño privado.

El alojamiento sirve un desayuno a la carta diario.

Además, el The Barcelona EDITION cuenta con mesa de billar.

En las inmediaciones hay varios lugares de interés, como la Barceloneta, el barrio de Somorrostro y la playa de Sant Miquel. Asimismo, el The Barcelona EDITION se halla a 17 km del aeropuerto de Barcelona-El Prat."
2,Catalonia Sagrada Familia,"8,2",€ 337,https://www.booking.com/hotel/es/cataloniaaragon.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=9058707_195192282_0_2_0&highlighted_blocks=9058707_195192282_0_2_0&matching_block_id=9058707_195192282_0_2_0&sr_pri_blocks=9058707_195192282_0_2_0__33652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Sagrada Familia se halla a 15 minutos a pie de la Sagrada Familia de Gaudí y a solo 300 metros de la estación de tren y metro del Clot. Cuenta con restaurante, gimnasio y piscina al aire libre de temporada.

El Catalonia Sagrada Familia presenta una bella decoración tradicional. Las habitaciones incluyen escritorio, nevera pequeña con agua gratuita y caja fuerte. Hay WiFi gratuita.
Todas las habitaciones del hotel están equipadas con Smart TV con la aplicación Chromecast.

El restaurante sirve un desayuno buffet, además de varios platos de la cocina catalana y mediterránea. También hay un bar y una cafetería que sirve bebidas y aperitivos todo el día.

El Catalonia Sagrada Familia presta servicio de alquiler de coches. El personal de la recepción 24 horas proporciona información turística sobre Barcelona. El hotel está a 200 metros de la Torre Agbar.

El centro de la ciudad queda a 4 paradas desde la estación de metro del Clot, donde también para el tren que lleva al aeropuerto."
3,Hotel Lleó,"8,2",€ 380,https://www.booking.com/hotel/es/lleo.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=9116202_275786763_0_2_0&highlighted_blocks=9116202_275786763_0_2_0&matching_block_id=9116202_275786763_0_2_0&sr_pri_blocks=9116202_275786763_0_2_0__38012&from=searchresults#hotelTmpl,"El Hotel Lleó se encuentra junto a la plaza de Catalunya y las famosas Ramblas de Barcelona. Ofrece una pequeña piscina en la azotea con solárium y tumbonas, WiFi gratuita y habitaciones con TV de pantalla plana.

El Hotel Lleó presenta una decoración elegante con suelo pulido, elementos de cristal y una atractiva iluminación en todas sus instalaciones. Dispone de habitaciones amplias con aire acondicionado, nevera y TV vía satélite.

El restaurante elabora una amplia variedad de cocina mediterránea. También sirve un desayuno cada mañana de 07:00 a 11:00.

El Lleó alberga una zona de salón y un bar que prepara bebidas.

El Hotel Lleó está a poca distancia a pie de muchos lugares de interés de Barcelona. Se halla a 1 minuto a pie de las Ramblas y a 100 metros de la estación de metro más cercana, que comunica con la Casa Batlló y la Sagrada Familia de Gaudí en 10 minutos."
4,Catalonia Albeniz,"8,6",€ 337,https://www.booking.com/hotel/es/cataloniaalbeniz.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=9059005_194594649_0_2_0&highlighted_blocks=9059005_194594649_0_2_0&matching_block_id=9059005_194594649_0_2_0&sr_pri_blocks=9059005_194594649_0_2_0__33652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Albeniz ofrece habitaciones amplias con aire acondicionado, WiFi gratuita y TV vía satélite. El establecimiento se encuentra a 150 metros de la estación de tren de Clot y a 15 minutos a pie de la Sagrada Familia de Gaudí.

El alojamiento cuenta con gimnasio y piscina al aire libre. El Albeniz también ofrece consigna de equipaje.

El Catalonia Albeniz sirve un desayuno buffet variado que incluye platos típicos de la zona, como tortilla de patata y pan con tomate.

Las habitaciones del Albeniz son luminosas, presentan una decoración sencilla en estilo moderno y cuentan con suelo de madera. Todas las habitaciones incluyen minibar, caja fuerte y baño de mármol con secador de pelo.

El Catalonia Albeniz se halla a solo 700 metros de las tiendas y restaurantes del centro comercial Glòries y a 5 minutos a pie del mercadillo de Els Encants. El alojamiento está situado a poca distancia a pie de la estación del Clot, que proporciona conexiones en metro y servicio de tren directo al aeropuerto. Todas las habitaciones del hotel tienen Smart TV con aplicación Chromecast."
5,Hostal El Ninot,"8,7",€ 287,https://www.booking.com/hotel/es/hostal-el-ninot.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=42022902_352557374_0_0_0&highlighted_blocks=42022902_352557374_0_0_0&matching_block_id=42022902_352557374_0_0_0&sr_pri_blocks=42022902_352557374_0_0_0__28652&from=searchresults#hotelTmpl,"El Hostal El Ninot se encuentra en el elegante barrio barcelonés del Eixample, a 3 minutos a pie de la avenida Diagonal. Ofrece habitaciones luminosas con aire acondicionado.

Las habitaciones son acogedoras y presentan una decoración funcional y suelo de madera. Incluyen TV, calefacción central y aire acondicionado. La mayoría tiene baño privado, y algunas disponen de terraza o vistas a la ciudad.

El Ninot está cerca de numerosos bares, tiendas y restaurantes y a 10 minutos a pie del paseo de Gracia, con sus tiendas exclusivas y monumentos de Gaudí. La misma distancia hay hasta las bonitas plazas del bohemio barrio de Gracia.

El hostal proporciona información turística y conexión WiFi gratuita. Está a 5 minutos a pie de la estación de metro de Hospital Clínic y a 500 metros de la estación de tren FGC de Provença, que se encuentra a 1 parada de la Plaza Cataluña."
6,ibis Styles Barcelona City Bogatell,"8,5",€ 358,https://www.booking.com/hotel/es/ibis-styles-barcelona-city-bogatell.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=189690301_376288917_2_33_0&highlighted_blocks=189690301_376288917_2_33_0&matching_block_id=189690301_376288917_2_33_0&sr_pri_blocks=189690301_376288917_2_33_0__35752&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El ibis Styles Barcelona City Bogatell se encuentra en Barcelona, a 900 metros del Puerto Olímpico, y ofrece aparcamiento privado y WiFi gratuita. Este hotel alberga una piscina al aire libre, un parque infantil y un bar.

Se proporciona TV.

Este hotel dispone de una recepción 24 horas.

El hotel también tiene mesa de ping pong y un servicio de préstamo de bicicletas. El ibis Styles Barcelona City Bogatell se halla a 1,5 km del Museo Picasso y a 1,8 km de la catedral de Barcelona. Además, el aeropuerto más cercano al ibis Styles Barcelona City Bogatell es el de Barcelona El Prat, situado a 15 km."
7,Hotel Alimara,"8,3",€ 239,https://www.booking.com/hotel/es/hotelalimara.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=9045003_0_2_0_0&highlighted_blocks=9045003_0_2_0_0&matching_block_id=9045003_0_2_0_0&sr_pri_blocks=9045003_0_2_0_0__23915&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Hotel Alimara es moderno y está ubicado en el barrio barcelonés de Horta. Cuenta con centro de fitness, jardín central, varias salas de reuniones y habitaciones con TV de pantalla plana.

Todas las habitaciones del Alimara Hotel están equipadas con aire acondicionado y calefacción. Todos los alojamientos disponen de baño privado con secador de pelo.

El restaurante del establecimiento Alimara propone platos de la cocina mediterránea con un toque moderno. Hay menú infantil. El hotel alberga el bar SUMMUM, que cuenta con terraza y ofrece comida, bebidas y aperitivos.

El hotel se halla a 1 minuto a pie de la estación de metro Mundet y a un trayecto de 12 minutos del centro de Barcelona. El emblemático parque Güell de Gaudí queda a 4 paradas desde la estación de metro Mundet."
8,Catalonia Diagonal Centro,"8,4",€ 400,https://www.booking.com/hotel/es/catalonia-diagonal-centro.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=9058108_194625034_0_2_0&highlighted_blocks=9058108_194625034_0_2_0&matching_block_id=9058108_194625034_0_2_0&sr_pri_blocks=9058108_194625034_0_2_0__39960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Diagonal Centro se encuentra en pleno centro del barrio barcelonés del Eixample, a 300 metros de la estación de metro Diagonal. Cuenta con piscina de temporada al aire libre y WiFi gratuita en todas las instalaciones.

El Catalonia Diagonal Centro ofrece alojamiento cómodo y moderno cerca de los lugares más famosos de Barcelona.

Se halla a 300 metros de La Pedrera, en la avenida Passeig de Gràcia, una de las creaciones más famosas de Gaudí. Está cerca de los edificios modernistas, la plaza Catalunya y Las Ramblas.

Las elegantes habitaciones incluyen muebles modernos de madera y baño de mármol. Disponen de TV vía satélite y WiFi gratuita.

El hotel está a unos pasos del barrio de Gràcia, con sus tiendas bohemias, sus plazas arboladas y su gran número de bares y restaurantes. En las inmediaciones hay varias paradas de metro y autobús que permiten acceder fácilmente al resto de la ciudad. Las habitaciones incluyen TV inteligente con Chromecast."
9,Hostalet de Barcelona,"7,3",€ 252,https://www.booking.com/hotel/es/hostalet-de-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=30211903_88497473_0_0_0&highlighted_blocks=30211903_88497473_0_0_0&matching_block_id=30211903_88497473_0_0_0&sr_pri_blocks=30211903_88497473_0_0_0__25212&from=searchresults#hotelTmpl,"Las ​​habitaciones del Hostalet de Barcelona son luminosas y prácticas e incluyen TV y conexión WiFi gratuita. La estación de metro de Hospital Clinic está a 300 metros.

El Hostalet se encuentra a 15 minutos a pie del Paseo de Gracia, una calle famosa que alberga los edificios de Gaudí, La Pedrera y la Casa Batlló.

La estación de metro de Hospital Clinic ofrece conexiones directas con la Sagrada Familia y el estadio de fútbol Camp Nou. La estación de Provença, ubicada a 800 metros, le permitirá acceder fácilmente a la plaza de Cataluña.

Las habitaciones del Hostalet son sencillas y elegantes, e incluyen baño privado. Algunas también disponen de balcón con vistas a la calle o a un patio central. A su llegada, recibirá un obsequio de bienvenida, una botella de agua y un paquete de galletas."
10,Catalonia Gracia,"8,5",€ 410,https://www.booking.com/hotel/es/cataloniacorcega.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=9058305_194613233_0_2_0&highlighted_blocks=9058305_194613233_0_2_0&matching_block_id=9058305_194613233_0_2_0&sr_pri_blocks=9058305_194613233_0_2_0__40960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel se encuentra junto a la avenida Diagonal y al Paseo de Gracia, una zona idónea para ir de compras. También está cerca de la plaza Cataluña y del histórico Barrio Gótico. Ofrece WiFi gratuita.

El Hotel Catalonia Gracia se halla en plena ruta modernista y está rodeado de algunas de las obras arquitectónicas más famosas de Barcelona, como los edificios diseñados por Domènech i Montaner y Gaudí, entre ellos La Pedrera.

El restaurante sirve desayuno buffet. También hay servicio de habitaciones.

El Hotel Catalonia Gracia está ubicado a poca distancia a pie de numerosos lugares de interés de la cosmopolita ciudad de Barcelona. El hotel ofrece una excelente relación calidad precio y está muy bien comunicado en transporte público con otros puntos de la ciudad y con los alrededores. Hay instalaciones para reuniones y salas de conferencias donde se pueden organizar banquetes y eventos corporativos."
11,Catalonia Rigoletto,"8,4",€ 380,https://www.booking.com/hotel/es/rigoletto.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4Apbnr60GwAIB0gIkNzViNGEyMTktNDE1Yi00ODg1LWJiODAtNmM2ZTU4ODFlYzcy2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-13&checkout=2024-06-15&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=71f07381195701ee&srepoch=1705767945&all_sr_blocks=2980011_194584998_0_2_0&highlighted_blocks=2980011_194584998_0_2_0&matching_block_id=2980011_194584998_0_2_0&sr_pri_blocks=2980011_194584998_0_2_0__37960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Rigoletto es elegante y se halla a 500 metros del estadio Camp Nou (donde juega sus partidos como local el F.C. Barcelona) y a 5 minutos a pie de la estación de metro María Cristina. Tiene piscina al aire libre y habitaciones con WiFi gratuita y TV de pantalla plana.

Las habitaciones del hotel Rigoletto son amplias, están equipadas con aire acondicionado y presentan una decoración con mobiliario de madera oscura y tejidos de lujo. Además, disponen de TV vía satélite, minibar, caja fuerte y teléfono inteligente de uso gratuito.

Se sirve un desayuno buffet en el comedor. El restaurante La Traviata es elegante y propone platos de la cocina mediterránea. Este hotel también alberga un bar donde se exponen obras de arte con encanto.

Lugares de interés como Las Ramblas o la Casa Batlló de Gaudí quedan a 15 minutos en metro. El hotel Rigoletto se encuentra a solo 1,5 km de la estación de tren de Sants, que ofrece un servicio de enlace con el aeropuerto."
